Agua de coco;200;Vaso de 200cc;10;
Bebida de almendra;200;Vaso o brick de 200cc;10;35
Bebida de arroz;200;Vaso o brick de 200cc;10;85
Bebida de avena;200;Vaso o brick de 200cc;10;35
Bebida de cacao;100;Vaso o brick de 200cc;20;34
Bebida de soja;250;Vaso o brick de 200cc;8;30
Bebida isotónica;130;Lata de 330cc;25;78
Bebida isotónica;130;Botella de 500cc;38;78
Bebida refrescante de sabores (4,5% de hidratos de carbono);200;Vaso de 200cc;10;70
Bebida refrescante de sabores (4,5% de hidratos de carbono);200;Lata de 330cc;16;70
Gaseosa común (10% de hidratos de carbono);100;Vaso chico;15;70
Gaseosa común (10% de hidratos de carbono);100;Lata de 354cc;40;70
Gaseosa light o sin azúcar;No valorable;;;
Bitter;100;Vaso o botellín de 200cc;20;70
Caldo de pollo o carne;No valorable;;;
Espumante brut;No valorable;;;
Cerveza;250;Lata (350cc);15;110
Cerveza;250;Lata (473cc);20;110
Cerveza sin alcohol;250;Lata (350cc);10;110
Cerveza sin alcohol;250;Tercio o mediana (330cc);13;110
Cerveza sin alcohol;250;Jarra (500cc);20;110
Destilados (ginebra, whisky, ron, vodka);No valorable;;;
Gaseosa;No valorable;;;
Licor de durazno o manzana;30;Un chupito (30cc);10;
Mosto;70;Una copa (100cc);14;
Sangría;100;Un vaso (200cc);20;
Sidra;200;Una copa (150cc);15;
Tónica;100;Un vaso o botellín (200cc);20;70
Vermut;75;Una copa (100cc);13;
Vino blanco o tinto;No valorable;Una copa;10;
Vino dulce;75;Una copa;15;
Jugo de fruta;100;Un vaso o brick (200cc);20;60
"Jugo de fruta ""sin azúcar añadido""";250;Un vaso o brick (200cc);10;45
Jugo de tomate;200;Un vaso o brick (200cc);10;35
Bebida energizante;80;1 lata (250cc);30;70
Jugo de naranja comercial 1 vaso 20;;;;
Jugo de naranja tipo citric;;1 envase pequeño (250cc);25;
Jugo comercial dietético;;1 vaso (200cc);5;
