Lupines;50;Tapa (30g);6;15
Arroz blanco, crudo;13;;;
Arroz blanco, hervido;38;Guarnición (80g);20;70
Arroz blanco, hervido;38;Plato mediano (160g);40;70
Arroz blanco, hervido;38;Plato grande (240g);60;70
Arroz hinchado para desayuno;12;;;85
Arroz integral, crudo;13;;;
Arroz integral, hervido;40;Guarnición (80g);20;50
Arroz integral, hervido;40;Plato mediano (160g);40;50
Arroz integral, hervido;40;Plato grande (240g);60;50
Arroz salvaje, crudo;13;;;
Arroz salvaje, hervido;34;;;35
Arroz, cocido;38;Guarnición (80g);20;70
Arroz, cocido;38;Plato mediano (160g);40;70
Arroz, cocido;38;Plato grande (240g);60;70
Arroz, crudo;13;;;
Avena en copos;15;;;40
Avena, crudo;15;;;
Avena, hervido;34;;;40
Boniato;50;Pequeño (80g);16;50
Boniato;50;Mediano (160g);32;50
Boniato;50;Grande (320g);64;50
Cereales desayuno (trigo);15;;;77
Cereales desayuno, ricos en fibra (>10%);20;;;50
Cereales tipo muesli;15;;;65
Fideos de arroz, hervido;50;;;50
Fideos de soja, hervido;40;;;
Galleta sin azúcar;18;Unidad (7g);3;50
Galleta tipo María;15;Unidad (7g);4;70
Garbanzo, crudo;20;;;
Garbanzo, en conserva;70;;;35
Garbanzo, hervido;55;Guarnición (100g);20;35
Garbanzo, hervido;55;Plato mediano (200g);40;35
Garbanzo, hervido;55;Plato grande (300g);60;35
Arvejas congeladas, frescas, de lata;100;Guarnición (200g);20;35
Arvejas congeladas, frescas, de lata;100;Plato mediano (400g);40;35
Arvejas congeladas, frescas, de lata;100;Plato grande (600g);60;35
Harina de avena;18;Cucharada sopera rasa (14g);8;
Harina de cebada o centeno;17;Cucharada sopera rasa (14g);8;45
Harina de maíz;15;Cucharada sopera rasa (14g);10;70
Harina de soja;70;Cucharada sopera rasa (14g);2;25
Harina de trigo;15;Cucharada sopera rasa (14g);10;78
Hojaldre crudo;30;;;
Hojaldre horneado;24;;;
Hummus;100;;;
Porotos blancos, crudo;25;;;
Porotos blancos, en conserva;70;;;35
Poroto blancos, hervido;55;Guarnición (100g);20;35
Poroto blancos, hervido;55;Plato mediano (200g);40;35
Poroto blancos, hervido;55;Plato grande (300g);60;35
Legumbre, en conserva;70;;;
Lentejas, crudo;20;;;
Lentejas, en conserva;70;;;35
Lentejas, hervido;50;Guarnición (100g);20;35
Lentejas, hervido;50;Plato mediano (200g);40;35
Lentejas, hervido;50;Plato grande (300g);60;35
Maíz en lata;50;Lata pequeña (150g);30;65
Maíz en lata sin azúcar añadido;90;Lata pequeña (150g);15;
Maíz tostado;20;Bolsa pequeña (40g);20;
Mijo, cocido;53;;;70
Mijo, crudo;15;;;
Pan blanco (de trigo);20;Barra de 1/4, unos 3 cm (20g);10;70
Pan blanco (de trigo);20;Panecillo restaurante (60g);30;70
Pan blanco (de trigo);20;Barra de 1/4 entera (180g);90;70
Pan de centeno;20;;;65
Pan de hamburguesa;18;Unidad pequeña (55g);30;85
Pan de hamburguesa;18;Unidad (80g);45;85
Pan de molde;20;Rebanada (25g);12;85
Pan de trigo de grano entero;23;;;40
Pan en bastoncitos;15;3 unidades (15g);10;70
Pan rallado;15;Cucharada sopera colmada (23g);15;70
Pan tostado;15;Tostada canapé (2g);2;70
Pan tostado;15;Unidad mini (3,3g);3;70
Pan tostado;15;Unidad (10g);6;70
Pasta al huevo, crudo;16;;;
Pasta alimenticia integral, crudo;15;;;
Pasta alimenticia integral, hervido;45;Guarnición (90g);20;45
Pasta alimenticia integral, hervido;45;Plato mediano (180g);40;45
Pasta alimenticia integral, hervido;45;Plato grande (270g);60;45
Pasta alimenticia, crudo;14;;;
Pasta alimenticia, hervido;45;Guarnición (90g);20;50
Pasta alimenticia, hervido;45;Plato mediano (180g);40;50
Pasta alimenticia, hervido;45;Plato grande (270g);60;50
Pasta fresca rellena;30;;;
Pasta sin glúten;13;;;73
Quinoa, crudo;19;;;
Quinoa, hervido;48;;;35
Sémola de trigo, crudo;14;;;
Sémola de trigo, hervido;90;;;67
Soja seca, crudo;30;;;
Soja seca, hervido;100;;;15
Sushi;45;Pieza pequeña (20g);5;42
Sushi;45;Pieza grande (40g);9;42
Tapioca, cocido;33;;;84
Tapioca, crudo;12;;;
Trigo sarraceno, crudo;14;;;
Trigo sarraceno, hervido;42;;;40
Trigo tierno, crudo;16;;;
Trigo tierno, hervido;39;;;54
Yuca, cocido;33;;;55
Yuca, crudo;25;;;
Arroz blanco, arroz integral (cocido);;1/3 taza;15;
Avena arrollada;;1/3 taza;15;
Cabada, centeno, quinoa (crudo);;2 cucharadas soperas;15;45
Harina de maíz (cocido);;1/3 taza;15;70
Almidón de maíz (maicena);;1 cucharada sopera;15;
Salvado de avena;;4 cucharadas soperas;15;
Trigo burgol;;½ taza;15;
Cous cous cocido;;½ taza;15;
Choclo entero;;½ unidad ;15;
Choclo, granos;;½ taza;15;
