Aceituna;250;Una tapa (12 unidades o 30g);0;15
Damasco seco;15;Unidad (5g);3;35
Almendra;150;Un puñado, con mano cerrada (20g);1;15
Almendra tostada;140;Un puñado, con mano cerrada (20g);1;15
Avellana;150;Un puñado, con mano cerrada (20g);1;15
Castañas de caju;150;Un puñado, con mano cerrada (20g);1;15
Maní;100;Un puñado, con mano cerrada (20g);2;15
Ciruela pasa;15;Unidad (8g);5;40
Dátil seco;15;Unidad (10g);7;70
Higo seco;15;Unidad (8g);5;40
Nuez;300;Un puñado, con mano cerrada (20g);1;15
Piñón;300;Un puñado, con mano cerrada (20g);1;15
Pipas;80;Un puñado, con mano cerrada (15g);2;35
Pistacho;80;Un puñado, con mano cerrada (20g);2;15
Sésamo;100;Una cucharada sopera rasa (12g);1;
Uva pasa;15;Un puñado, con mano cerrada (20g);13;65
